Date,Portfolio Value,Strategy Return (%),Nifty Return (%),Peak,Drawdown (%)
2025-08-01,1000000.0,0.0,0.0,1000000.0,0.0
2025-08-04,994692.5215404511,-0.5307478459548903,0.6407415043054404,1000000.0,-0.5307478459548903
2025-08-05,990405.5050487518,-0.9594494951248169,0.3427639875431118,1000000.0,-0.9594494951248169
2025-08-06,974237.9909801483,-2.5762009019851684,0.03602476462058036,1000000.0,-2.5762009019851684
2025-08-07,962028.6377696991,-3.7971362230300905,0.12538303643049045,1000000.0,-3.7971362230300905
2025-08-08,946836.1810652576,-5.316381893474236,-0.8224952273746231,1000000.0,-5.316381893474236
2025-08-11,934761.1224641284,-6.523887753587158,0.08019902907256546,1000000.0,-6.523887753587158
2025-08-12,926746.5529389819,-7.325344706101809,-0.3173136958745006,1000000.0,-7.325344706101809
2025-08-13,932928.066993471,-6.7071933006529,0.21982182569627143,1000000.0,-6.7071933006529
2025-08-14,925390.470584627,-7.4609529415372995,0.268472352006872,1000000.0,-7.4609529415372995
2025-08-18,949108.1243184528,-5.089187568154721,1.268451759612176,1000000.0,-5.089187568154721
2025-08-19,955625.2504170856,-4.43747495829144,1.6905958508789416,1000000.0,-4.43747495829144
2025-08-20,949874.1948750934,-5.012580512490659,1.9751445820654234,1000000.0,-5.012580512490659
2025-08-21,944990.9182353634,-5.500908176463656,2.110291116830514,1000000.0,-5.500908176463656
2025-08-22,943225.9839549679,-5.677401604503207,1.2405685440914576,1000000.0,-5.677401604503207
2025-08-25,939822.3473277707,-6.017765267222933,1.6380812690385236,1000000.0,-6.017765267222933
2025-08-26,935200.2245273602,-6.479977547263983,0.5971873969137963,1000000.0,-6.479977547263983
2025-08-28,932650.526375306,-6.734947362469404,-0.2623582394504327,1000000.0,-6.734947362469404
2025-08-29,930607.2460126069,-6.939275398739311,-0.5638022751654368,1000000.0,-6.939275398739311
2025-09-01,947925.0779217866,-5.207492207821343,0.24303001106980351,1000000.0,-5.207492207821343
2025-09-02,958557.8908389132,-4.144210916108684,0.058008537336516064,1000000.0,-4.144210916108684
2025-09-03,973933.9866214923,-2.606601337850769,0.6093997205635893,1000000.0,-2.606601337850769
2025-09-04,965106.0088764362,-3.489399112356385,0.68776213064976,1000000.0,-3.489399112356385
2025-09-05,972511.877452486,-2.748812254751404,0.7150331398416803,1000000.0,-2.748812254751404
2025-09-08,971068.7038685016,-2.893129613149841,0.8459101317682689,1000000.0,-2.893129613149841
2025-09-09,966749.7254157111,-3.325027458428894,1.2344623822665612,1000000.0,-3.325027458428894
2025-09-10,976264.3059363409,-2.373569406365906,1.6598583227343457,1000000.0,-2.373569406365906
2025-09-11,974246.8417288824,-2.57531582711176,1.791753008298417,1000000.0,-2.57531582711176
2025-09-12,980476.373802857,-1.9523626197142991,2.2334320469659255,1000000.0,-1.9523626197142991
2025-09-15,978992.0370558783,-2.1007962944121683,2.051058166836402,1000000.0,-2.1007962944121683
2025-09-16,988797.1362174079,-1.1202863782592118,2.742684353015979,1000000.0,-1.1202863782592118
2025-09-17,980328.3502224316,-1.9671649777568412,3.1137370433884937,1000000.0,-1.9671649777568412
2025-09-18,988665.5788372387,-1.1334421162761283,3.4937422574782393,1000000.0,-1.1334421162761283
2025-09-19,996656.869849049,-0.3343130150950979,3.1007137451213316,1000000.0,-0.3343130150950979
2025-09-22,989656.987963215,-1.0343012036785018,2.5930833883060163,1000000.0,-1.0343012036785018
2025-09-23,996762.4007287179,-0.3237599271282088,2.459360034487093,1000000.0,-0.3237599271282088
2025-09-24,983965.128680245,-1.6034871319754982,2.0009924103111763,1000000.0,-1.6034871319754982
2025-09-25,981199.2725254234,-1.8800727474576562,1.325037116002525,1000000.0,-1.8800727474576562
2025-09-26,970098.1565701723,-2.9901843429827712,0.36372211589002196,1000000.0,-2.9901843429827712
2025-09-29,970098.1565701723,-2.9901843429827712,0.2831255502403149,1000000.0,-2.9901843429827712
2025-09-30,962033.49673,-3.7966503269999987,0.18623793565934105,1000000.0,-3.7966503269999987
2025-10-01,961226.5227813306,-3.8773477218669377,1.1029811347427172,1000000.0,-3.8773477218669377
2025-10-03,976741.1125579419,-2.325888744205807,1.3388793396185987,1000000.0,-2.325888744205807
2025-10-06,974454.8027585454,-2.554519724145462,2.085460982222244,1000000.0,-2.554519724145462
2025-10-07,966291.0011309504,-3.3708998869049593,2.210231812323936,1000000.0,-3.3708998869049593
2025-10-08,956628.1156329035,-4.337188436709647,1.9572315838994188,1000000.0,-4.337188436709647
2025-10-09,956903.5871650984,-4.309641283490159,2.509433741743861,1000000.0,-4.309641283490159
2025-10-10,971041.3551201156,-2.8958644879884434,2.9309576759502853,1000000.0,-2.8958644879884434
2025-10-13,967830.7035698226,-3.2169296430177408,2.69485275205429,1000000.0,-3.2169296430177408
2025-10-14,963442.7272514632,-3.655727274853678,2.36166144528875,1000000.0,-3.655727274853678
2025-10-15,965064.1394008194,-3.4935860599180564,3.0864660341965737,1000000.0,-3.4935860599180564
2025-10-16,966961.0765803849,-3.303892341961514,4.151991272641,1000000.0,-3.303892341961514
2025-10-17,955572.5501704728,-4.442744982952718,4.659001472395975,1000000.0,-4.442744982952718
2025-10-20,955035.9464885269,-4.496405351147311,5.2016389001943875,1000000.0,-4.496405351147311
2025-10-21,959417.4049312149,-4.058259506878513,5.305236932197513,1000000.0,-4.058259506878513
2025-10-23,970374.2975551162,-2.962570244488376,5.398053772228556,1000000.0,-2.962570244488376
2025-10-24,966523.9720851455,-3.3476027914854467,5.006241721797702,1000000.0,-3.3476027914854467
2025-10-27,977313.8489619766,-2.268615103802341,5.70193868252721,1000000.0,-2.268615103802341
2025-10-28,976256.6933601314,-2.374330663986865,5.580419701626537,1000000.0,-2.374330663986865
2025-10-29,982772.8404502801,-1.7227159549719886,6.059554636592336,1000000.0,-1.7227159549719886
2025-10-30,988612.1053268365,-1.1387894673163537,5.342891596784375,1000000.0,-1.1387894673163537
2025-10-31,980467.6344124771,-1.9532365587522855,4.708868460632629,1000000.0,-1.9532365587522855
2025-11-03,972430.3156717162,-2.7569684328283763,4.8767879108172805,1000000.0,-2.7569684328283763
