ticker,entry_date,entry_price,qty,exit_date,exit_price,pnl,pnl_pct,reason
RVNL.NS,2023-10-17,167.75595092773438,3049,2023-10-18,164.43431243896484,-10127.675752258336,-1.9800421209501131,Stop Loss
IRCON.NS,2023-10-13,144.20619201660156,1307,2023-10-23,139.84833183894403,-5695.723252198397,-3.021964672055026,Stop Loss
COCHINSHIP.NS,2023-11-06,490.0727233886719,2008,2023-11-07,496.7165222167969,13340.748046875,1.355676109085522,Target Hit
BEML.NS,2023-11-10,1069.5562744140625,666,2023-11-15,1099.5117248535157,19950.329992675805,2.8007362638177895,Target Hit
KNRCON.NS,2023-11-16,282.584228515625,629,2023-12-04,281.0397202036122,-971.4957282560354,-0.5465656452682652,Stop Loss
ADANIPORTS.NS,2023-11-28,826.5990600585938,278,2023-12-05,900.057568359375,20421.46530761718,8.886836660033717,Target Hit
PNCINFRA.NS,2023-12-13,338.2185974121094,1686,2023-12-14,350.51745300292964,20735.870526122977,3.6363628981154097,Target Hit
HGINFRA.NS,2023-12-18,861.2766723632812,874,2023-12-19,850.1257263183594,-9745.926843261695,-1.2946996479452362,Stop Loss
IRCON.NS,2023-12-14,165.79136657714844,1836,2023-12-20,160.76190012734503,-9234.100401839067,-3.033611793930795,Stop Loss
MAZDOCK.NS,2023-12-21,1041.75390625,350,2023-12-26,1100.9880065917969,20731.935119628906,5.685997430527694,Target Hit
GRSE.NS,2023-12-26,851.958984375,303,2024-01-18,849.262088465192,-817.159460671799,-0.3165523175727021,Stop Loss
BDL.NS,2024-02-02,868.2219848632812,519,2024-02-08,909.0053344726562,21166.55844726559,4.697341269905424,Target Hit
HAL.NS,2024-02-08,3002.85302734375,96,2024-02-09,2891.096875,-10728.590624999953,-3.7216657400847306,Stop Loss
BEML.NS,2024-02-27,1664.3984375,216,2024-02-28,1614.6421936035156,-10747.348681640637,-2.9894430789793645,Stop Loss
KNRCON.NS,2024-02-27,280.3387145996094,1472,2024-02-28,273.03084869384764,-10757.178613281285,-2.6067986778776238,Stop Loss
PNCINFRA.NS,2024-02-26,445.5096740722656,535,2024-02-29,425.53650054931643,-10685.647834777832,-4.483218813270796,Stop Loss
HGINFRA.NS,2024-03-04,918.2977294921875,1010,2024-03-06,908.035888671875,-10364.459228515625,-1.117485156582847,Stop Loss
KNRCON.NS,2024-03-04,281.4864196777344,388,2024-03-06,272.2009256183596,-3602.771695037416,-3.2987360704667306,Stop Loss
HGINFRA.NS,2024-03-11,905.08544921875,1130,2024-03-12,904.7800262451171,-345.1279602050781,-0.03374520868680929,Stop Loss
HGINFRA.NS,2024-03-19,906.9729614257812,894,2024-03-20,900.1160217285156,-6130.1040893554455,-0.7560247095444104,Stop Loss
COCHINSHIP.NS,2024-03-15,878.9957885742188,240,2024-04-01,964.0130920410156,20404.15283203125,9.672094516482245,Target Hit
GRSE.NS,2024-04-01,796.4039916992188,382,2024-04-03,850.6303833007812,20714.48159179685,6.808905049039778,Target Hit
