ticker,pnl
SILVERBEES.NS,-22014.685546875
GOLDBEES.NS,13187.633759308024
MAFANG.NS,-2766.5984436036088
ITBEES.NS,8630.4458184315
NIFTYBEES.NS,13806.581887817476
GOLDBEES.NS,-10108.40127124777
PHARMABEES.NS,20014.159561920213
ITBEES.NS,17181.795451354992
CPSEETF.NS,-10377.672235107399
SILVERBEES.NS,16154.182212066604
NIFTYBEES.NS,20542.883520507952
MAFANG.NS,-9156.825753098063
ITBEES.NS,-5870.312792015029
MON100.NS,-3681.656327785924
MON100.NS,-10451.068996429443
CPSEETF.NS,-10348.552551269531
CONSUMBEES.NS,-4585.314846038818
ITBEES.NS,-370.2476115655154
PHARMABEES.NS,-361.49570732115535
JUNIORBEES.NS,20392.720605468843
GOLDBEES.NS,1726.417622375302
NIFTYBEES.NS,-9743.159001159598
NIFTYBEES.NS,14023.0892639159
ITBEES.NS,-5.809986114501953
BANKBEES.NS,17476.55584716797
MID150BEES.NS,7418.591217041016
MAFANG.NS,-9651.232299804688
MAFANG.NS,0.453001403808571
AUTOBEES.NS,-6318.832413791679
MID150BEES.NS,4582.6423263549805
CPSEETF.NS,-2.2800064086914062
NIFTYBEES.NS,-5801.144540405367
BANKBEES.NS,-2669.0789794921875
PHARMABEES.NS,-3241.665789699531
PHARMABEES.NS,-4129.336903381278
ITBEES.NS,-10434.733171463013
CPSEETF.NS,-5197.76459312439
MAFANG.NS,-12912.159545898438
ITBEES.NS,-0.9740005493164006
BANKBEES.NS,-485.53280425374396
AUTOBEES.NS,-1189.2323864584323
BANKBEES.NS,-679.3186621691566
GOLDBEES.NS,10523.173719787621
ITBEES.NS,-11424.169368743896
MON100.NS,-6992.633331298828
GOLDBEES.NS,16934.724536132882
SILVERBEES.NS,20092.996545410133
