ticker,symbol,company_name,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,pnl,pnl_pct,holding_days,year
HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance Company Ltd.,2025-06-20,776.18359375,336,2025-07-03,777.8558011727469,Stop Loss Hit,561.861694042942,0.21543967641313613,13,2025
TITAN.NS,TITAN,Titan Company Ltd.,2025-06-20,3496.967041015625,106,2025-07-08,3585.75183574244,Stop Loss Hit,9411.1882410424,2.5389085366108946,18,2025
WIPRO.NS,WIPRO,Wipro Ltd.,2025-07-18,252.32977294921875,1512,2025-07-22,248.16893887041277,Stop Loss Hit,-6291.181127154636,-1.648966758925964,4,2025
ETERNAL.NS,ETERNAL,Eternal Ltd.,2025-07-21,271.70001220703125,1226,2025-07-22,290.213037109375,Target Hit (1:2 RR),22696.968530273465,6.813774041436969,1,2025
CIPLA.NS,CIPLA,Cipla Ltd.,2025-07-25,1518.2564697265625,254,2025-08-01,1499.772920819536,Stop Loss Hit,-4694.821422384728,-1.2174194067722544,7,2025
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Ltd.,2025-07-31,2476.34716796875,146,2025-08-01,2624.9279980468755,Target Hit (1:2 RR),21692.801191406317,6.0000000000000195,1,2025
EICHERMOT.NS,EICHERMOT,Eicher Motors Ltd.,2025-08-01,5470.71142578125,71,2025-08-18,5798.954111328125,Target Hit (1:2 RR),23305.23067382811,5.9999999999999964,17,2025
ASIANPAINT.NS,ASIANPAINT,Asian Paints Ltd.,2025-08-01,2406.33447265625,155,2025-08-18,2550.7145410156254,Target Hit (1:2 RR),22378.910595703186,6.000000000000016,17,2025
LT.NS,LT,Larsen & Toubro Ltd.,2025-07-30,3629.64794921875,82,2025-08-19,3578.6444329502065,Stop Loss Hit,-4182.28833402057,-1.4051918252711424,20,2025
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Ltd.,2025-08-18,899.6695556640625,1,2025-08-20,885.9056140071453,Stop Loss Hit,-13.763941656917154,-1.529888565225233,2,2025
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Ltd.,2025-08-18,2522.412841796875,157,2025-08-28,2673.7576123046874,Target Hit (1:2 RR),23761.128969726553,5.999999999999997,10,2025
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2025-08-18,1132.511962890625,359,2025-09-04,1200.4626806640626,Target Hit (1:2 RR),24394.307680664115,6.000000000000013,17,2025
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2025-09-03,1066.0765380859375,394,2025-09-23,1130.041130371094,Target Hit (1:2 RR),25202.049360351626,6.000000000000015,20,2025
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Ltd.,2025-09-22,12396.9580078125,34,2025-09-24,12299.997438727753,Stop Loss Hit,-3296.659348881414,-0.7821319473990588,2,2025
M&M.NS,M&M,Mahindra & Mahindra Ltd.,2025-09-04,3445.319091796875,70,2025-09-25,3489.2694194870537,Stop Loss Hit,3076.5229383125097,1.2756533290290049,21,2025
TMPV.NS,TMPV,Tata Motors Passenger Vehicles Ltd.,2025-10-01,712.4400634765625,604,2025-10-08,691.2039006215253,Stop Loss Hit,-12826.64236444244,-2.9807648311366712,7,2025
TATASTEEL.NS,TATASTEEL,Tata Steel Ltd.,2025-10-03,169.71011352539062,2536,2025-10-14,167.33657419422593,Stop Loss Hit,-6019.295743833662,-1.3985844932038087,11,2025
TITAN.NS,TITAN,Titan Company Ltd.,2025-10-08,3553.9384765625,119,2025-10-23,3767.1747851562504,Target Hit (1:2 RR),25375.120722656302,6.000000000000012,15,2025
INFY.NS,INFY,Infosys Ltd.,2025-10-23,1473.566162109375,250,2025-11-03,1445.6872594971173,Stop Loss Hit,-6969.725653064415,-1.8919342292951187,11,2025
TATACONSUM.NS,TATACONSUM,Tata Consumer Products Ltd.,2025-10-16,1139.6566162109375,375,2025-11-04,1146.7789248279776,Stop Loss Hit,2670.865731390023,0.6249521580210616,19,2025
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2025-10-28,1177.4368896484375,316,2025-11-06,1162.3364141180723,Stop Loss Hit,-4771.750267595404,-1.2824870413966685,9,2025
BEL.NS,BEL,Bharat Electronics Ltd.,2025-10-31,423.7184753417969,2,2025-11-06,410.7386954905313,Stop Loss Hit,-25.959559702531124,-3.063302783952314,6,2025
MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute Ltd.,2025-11-19,1162.3343505859375,370,2025-12-01,1148.0357394515102,Stop Loss Hit,-5290.486119738118,-1.2301633456173224,12,2025
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2025-12-01,1161.7271728515625,368,2025-12-03,1152.7718938235994,Stop Loss Hit,-3295.5426822904265,-0.7708590482549864,2,2025
TCS.NS,TCS,Tata Consultancy Services Ltd.,2026-01-13,3149.446044921875,135,2026-01-16,3116.417444541412,Stop Loss Hit,-4458.861051362519,-1.0487114212900388,3,2026
TECHM.NS,TECHM,Tech Mahindra Ltd.,2026-01-13,1573.89892578125,271,2026-01-19,1668.332861328125,Target Hit (1:2 RR),25591.59653320315,6.000000000000006,6,2026
INFY.NS,INFY,Infosys Ltd.,2026-01-16,1654.00830078125,227,2026-01-21,1597.3004028320313,Stop Loss Hit,-12872.692834472646,-3.428513503978997,5,2026
TATACONSUM.NS,TATACONSUM,Tata Consumer Products Ltd.,2026-01-27,1177.4368896484375,255,2026-01-28,1142.1137829589843,Stop Loss Hit,-9007.392205810565,-3.000000000000006,1,2026
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Ltd.,2026-01-23,1227.8135986328125,350,2026-01-29,1209.1792189092312,Stop Loss Hit,-6522.032903253466,-1.5176880060891142,6,2026
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2026-01-30,1318.90478515625,326,2026-02-02,1279.3376416015624,Stop Loss Hit,-12898.888798828164,-3.000000000000009,3,2026
AXISBANK.NS,AXISBANK,Axis Bank Ltd.,2026-01-27,1314.7860107421875,327,2026-02-03,1393.6731713867189,Target Hit (1:2 RR),25796.10153076176,6.00000000000001,7,2026
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Ltd.,2026-02-02,267.39813232421875,1198,2026-02-04,288.4221252441406,Target Hit (1:2 RR),25186.743518066378,7.8624307272387295,2,2026
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Ltd.,2026-02-06,2013.0650634765625,171,2026-02-10,1989.0602659992455,Stop Loss Hit,-4104.820368621202,-1.1924501553795133,4,2026
ADANIENT.NS,ADANIENT,Adani Enterprises Ltd.,2026-02-03,2201.61572265625,130,2026-02-13,2161.845996673038,Stop Loss Hit,-5170.064377817571,-1.8063881709215766,10,2026
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,2026-02-03,1524.3756103515625,117,2026-02-19,1502.9141471705236,Stop Loss Hit,-2510.991192181549,-1.4078854998269936,16,2026
SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,2026-02-03,1686.6943359375,220,2026-03-02,1713.00581827464,Stop Loss Hit,5788.526114170795,1.5599437181079705,27,2026
HINDALCO.NS,HINDALCO,Hindalco Industries Ltd.,2026-03-05,949.994140625,458,2026-03-09,930.7496220790548,Stop Loss Hit,-8813.9894940429,-2.0257512886641864,4,2026
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2026-03-10,1056.92138671875,409,2026-03-11,1025.2137451171875,Stop Loss Hit,-12968.425415039062,-3.0,1,2026
