Rank,ticker,Company Name,source_index,sector,trades,wins,losses,win_rate,total_pnl,profit_factor,avg_pnl_pct
1,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,NIFTY LargeMidcap 250,Healthcare,2,2,0,100.0,36517.8,99.0,17.56
2,UNIONBANK.NS,Union Bank of India,NIFTY Next 50,Financial Services,4,4,0,100.0,28207.0,99.0,6.0
3,FEDERALBNK.NS,The Federal Bank  Limited,NIFTY Bank,Financial Services,3,3,0,100.0,27546.06,99.0,7.38
4,PNB.NS,Punjab National Bank,NIFTY Next 50,Financial Services,3,3,0,100.0,25728.77,99.0,6.0
5,ADANIENSOL.NS,Adani Energy Solutions Limited,NIFTY Next 50,Power,3,3,0,100.0,22488.43,99.0,8.19
6,CGPOWER.NS,CG Power and Industrial Solutions Limited,NIFTY Next 50,Capital Goods,2,2,0,100.0,22357.12,99.0,7.58
7,TRENT.NS,Trent Limited,NIFTY LargeMidcap 250,Consumer Services,1,1,0,100.0,20364.9,99.0,15.96
8,ENDURANCE.NS,Endurance Technologies Limited,NIFTY LargeMidcap 250,Automobile and Auto Components,1,1,0,100.0,19275.04,99.0,15.75
9,BLS.NS,BLS International Services Limited,NIFTY Smallcap 250,Consumer Services,3,3,0,100.0,19055.44,99.0,4.08
10,CUB.NS,City Union Bank Limited,NIFTY Smallcap 250,Financial Services,2,2,0,100.0,18948.44,99.0,6.0
11,PGEL.NS,PG Electroplast Limited,NIFTY Smallcap 250,Consumer Durables,2,2,0,100.0,18252.28,99.0,6.0
12,TMPV.NS,Tata Motors Passenger Vehicles Limited,NIFTY LargeMidcap 250,Automobile and Auto Components,1,1,0,100.0,16773.84,99.0,12.07
13,NATCOPHARM.NS,Natco Pharma Limited,NIFTY Smallcap 250,Healthcare,3,2,1,66.7,15752.94,8.29,3.54
14,GALLANTT.NS,Gallantt Ispat Limited,NIFTY Smallcap 250,Capital Goods,2,2,0,100.0,14827.21,99.0,6.0
15,FIRSTCRY.NS,Brainbees Solutions Limited,NIFTY Smallcap 250,Consumer Services,2,2,0,100.0,14580.01,99.0,6.0
16,JWL.NS,Jupiter Wagons Limited,NIFTY Smallcap 250,Capital Goods,4,2,2,50.0,13132.41,4.68,2.21
17,ATUL.NS,Atul Limited,NIFTY Smallcap 250,Chemicals,1,1,0,100.0,13071.3,99.0,6.0
18,TMCV.NS,Tata Motors Limited,NIFTY Next 50,Capital Goods,1,1,0,100.0,12981.2,99.0,7.6
19,TEGA.NS,Tega Industries Limited,NIFTY Smallcap 250,Capital Goods,1,1,0,100.0,12821.16,99.0,6.0
20,USHAMART.NS,Usha Martin Limited,NIFTY Smallcap 250,Capital Goods,2,2,0,100.0,12813.69,99.0,6.0
21,SAGILITY.NS,SAGILITY LIMITED,NIFTY Smallcap 250,Information Technology,1,1,0,100.0,12613.76,99.0,6.0
22,JSWCEMENT.NS,JSW Cement Limited,NIFTY Smallcap 250,Construction Materials,1,1,0,100.0,12533.8,99.0,6.0
23,PVRINOX.NS,PVR INOX Limited,NIFTY Smallcap 250,Media Entertainment & Publication,1,1,0,100.0,12451.46,99.0,6.0
24,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,NIFTY Smallcap 250,Consumer Services,1,1,0,100.0,11895.47,99.0,6.0
25,BANKBARODA.NS,Bank of Baroda,NIFTY Next 50,Financial Services,2,2,0,100.0,11808.88,99.0,6.0
26,SONACOMS.NS,Sona BLW Precision Forgings Limited,NIFTY Smallcap 250,Automobile and Auto Components,3,1,2,33.3,11670.72,3.13,2.68
27,DMART.NS,Avenue Supermarts Limited,NIFTY Next 50,Consumer Services,6,4,2,66.7,11495.72,2.48,3.16
